"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Cd37.Mac",0,-1.22477035672783,0.357,0.648,0,"Mac","Cd37","CM"
"Limd2.Mac",0,-1.24654654729649,0.282,0.71,0,"Mac","Limd2",NA
"Rps27.Mac",0,-1.26756868717875,0.992,1,0,"Mac","Rps27",NA
"Gimap6.Mac",0,-1.32503376691414,0.079,0.519,0,"Mac","Gimap6",NA
"Cd3g.Mac",0,-1.35777898260462,0.033,0.364,0,"Mac","Cd3g","CM"
"Cd3d.Mac",0,-1.42234208397709,0.057,0.388,0,"Mac","Cd3d","CM"
"Ms4a4b.Mac",0,-1.47888266438318,0.063,0.398,0,"Mac","Ms4a4b",NA
"Klf2.Mac",0,-1.62337195577723,0.434,0.804,0,"Mac","Klf2","TF"
"Ptprcap.Mac",0,-1.70584704416845,0.076,0.631,0,"Mac","Ptprcap",NA
"Ebf1.Mac",0,-1.73758503569169,0.038,0.274,0,"Mac","Ebf1","TF"
"Ltb.Mac",0,-1.79772195489848,0.104,0.7,0,"Mac","Ltb","CM"
"Trbc2.Mac",0,-1.80747379138426,0.083,0.42,0,"Mac","Trbc2",NA
"Ighm.Mac",0,-1.87890900765098,0.259,0.54,0,"Mac","Ighm",NA
"Rac1.Mac",3.44750976110043e-307,0.374462421739347,0.88,0.582,4.2221652044197e-303,"Mac","Rac1",NA
"Kcnn3.Mac",5.7363078308274e-307,0.270749073064717,0.142,0.002,7.02525620041432e-303,"Mac","Kcnn3",NA
